"ORIGINAL"	"DBFIELD"	"TYPE"
"id"	"id"	"string"
"summary"	"summary"	"string"
"title"	"title"	"string"
"updated"	"updated"	"date"
"Número de Expediente"	"Num_Expediente"	"string"
"Estado"	"Estado"	"string"
"Nombre"	"Nombre"	"string"
"Ubicación orgánica"	"Ubicacion_organica"	"string"
"Objeto del Contrato"	"Objeto_Contrato"	"string"
"Tipo de Contrato"	"Tipo_Contrato"	"string"
"Valor estimado del contrato"	"Valor_estimado_contrato"	"string"
"Presupuesto base sin impuestos"	"Presupuesto_base_sin_impuestos"	"string"
"Clasificación CPV"	"Clasificacion_CPV"	"string"
"Código de Subentidad Nacional"	"Codigo_Subentidad_Nacional"	"string"
"Plazo de Ejecución (Duración)"	"Plazo_Ejecucion_duracion"	"string"
"Tipo de Procedimiento"	"Tipo_Procedimiento"	"string"
"Presentación de Oferta (Fecha)"	"Presentacion_oferta_Fecha"	"string"
"Presentación de Oferta (Hora)"	"Presentacion_Oferta_Hora"	"string"
"Tipo de Anuncio"	"Tipo_Anuncio"	"string"
"Medio de Publicación"	"Medio_Publicación"	"string"
"Fecha de Publicación"	"Fecha_Publicación"	"string"
"Plazo de Ejecución (Comienzo)"	"Plazo_Ejecucion_Comienzo"	"string"
"Plazo de Ejecución (Fin)"	"Plazo_Ejecucion_Fin"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"ContractFolderStatus1"	"string"
"Pliego de cláusulas administrativas"	"Pliego_clausulas_administrativas"	"string"
"Pliego de cláusulas administrativas (URI)"	"Pliego_clausulas_administrativas_URI"	"string"
"Pliego de Prescripciones técnicas"	"Pliego_Prescripciones_tecnicas"	"string"
"Pliego de Prescripciones técnicas (URI)"	"Pliego_Prescripciones_tecnicas_URI"	"string"
"Resultado"	"Resultado"	"string"
"Número de Licitadores Participantes"	"Numero_Licitadores_Participantes"	"string"
"Identificador (+ Tipo: mod schemeName)"	"Identificador"	"string"
"Nombre del Adjudicatario"	"Nombre_Adjudicatario"	"string"
"Presentación de Solicitudes (Fecha)"	"Presentacion_Solicitudes_Fecha"	"string"
"Presentación de Solicitudes (Hora)"	"Presentacion_Solicitudes_Hora"	"string"
"URL perfil de contratante"	"URL_perfil_contratante"	"string"
"ID"	"ID"	"string"
"Lote"	"Lote"	"string"
"Presentación de Oferta"	"Presentacion_Oferta"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"ContractFolderStatusr2"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"ContractFolderStatus3"	"string"
"domain"	"domain"	"string"
"file name"	"file_name"	"string"
"entry"	"entry"	"string"
"deleted_on"	"deleted_on"	"string"
"Importe total ofertado (sin impuestos)"	"Importe_total_ofertado_sin impuestos"	"string"
"Presentación de Oferta (Observaciones)"	"Presentacion-Oferta-Observaciones"	"string"
