"ORIGINAL"	"DBFIELD"	"TYPE"
"id"	"id"	"string"
"summary"	"summary"	"string"
"title"	"title"	"string"
"updated"	"updated"	"string"
"deleted_on"	"deleted_on"	"string"
"Admisión de Variantes (Condiciones de Licitación)"	"Admision_de_Variantes_(Condiciones_de_Licitacion)"	"string"
"Agencia (Publicaciones oficiales)"	"Agencia_(Publicaciones_oficiales)"	"string"
"Anexos a los pliegos (Datos Generales del Expediente)"	"Anexos_a_los_pliegos_(Datos_Generales_del_Expediente)"	"string"
"Anexos a los pliegos (Hash) (Datos Generales del Expediente)"	"Anexos_a_los_pliegos_(Hash)_(Datos_Generales_del_Expediente)"	"string"
"Anexos a los pliegos (URI) (Datos Generales del Expediente)"	"Anexos_a_los_pliegos_(URI)_(Datos_Generales_del_Expediente)"	"string"
"Calificación empresarial solicitada (Requisitos de Participación)"	"Calificacion_empresarial_solicitada_(Requisitos_de_Participacion)"	"string"
"Calle (Entidad Adjudicadora)"	"Calle_(Entidad_Adjudicadora)"	"string"
"Cantidad Máxima (Limitación del número de licitadores a los que se invitará)"	"Cantidad_Maxima_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Cantidad Mínima (Limitación del número de licitadores a los que se invitará)"	"Cantidad_Minima_(Limitacion_del_numero_de_licitadores_a_los_que_se_invitara)"	"string"
"Clasificación CPV (Datos Generales del Expediente del Lote)"	"Clasificacion_CPV_(Datos_Generales_del_Expediente_del_Lote)"	"string"
"Clasificación CPV (Datos Generales del Expediente)"	"Clasificacion_CPV_(Datos_Generales_del_Expediente)"	"string"
"Código de País (Lugar de ejecución del Lote)"	"Codigo_de_Pais_(Lugar_de_ejecucion_del_Lote)"	"string"
"Código de País (Lugar de ejecución)"	"Codigo_de_Pais_(Lugar_de_ejecucion)"	"string"
"Código de Subentidad Territorial (Lugar de ejecución del Lote)"	"Codigo_de_Subentidad_Territorial_(Lugar_de_ejecucion_del_Lote)"	"string"
"Código de Subentidad Territorial (Lugar de ejecución)"	"Codigo_de_Subentidad_Territorial_(Lugar_de_ejecucion)"	"string"
"Código Postal (Entidad Adjudicadora)"	"Codigo_Postal_(Entidad_Adjudicadora)"	"string"
"Código Postal (Lugar de ejecución del Lote)"	"Codigo_Postal_(Lugar_de_ejecucion_del_Lote)"	"string"
"Código Postal (Lugar de ejecución)"	"Codigo_Postal_(Lugar_de_ejecucion)"	"string"
"Condiciones de admisión (código) (Requisitos de Participación)"	"Condiciones_de_admision_(codigo)_(Requisitos_de_Participacion)"	"string"
"ContractFolderStatus - LocatedContractingParty - Party - PartyIdentification - IDschemeName"	"LocatedContractingParty_Party_PartyIdentification_IDschemeName"	"string"
"ContractFolderStatus - ProcurementProjectLot - IDschemeName"	"ProcurementProjectLot_IDschemeName"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PartyIdentification - IDschemeName"	"TenderResult_WinningParty_PartyIdentification_IDschemeName"	"string"
"ContractFolderStatus_TenderingTerms_TendererQualificationRequest_RequiredBusinessClassificationScheme_ID (Unmatched)"	"ContractFolderStatus_TenderingTerms_TendererQualificationRequest_RequiredBusinessClassificationScheme_ID_(Unmatched)"	"string"
"Correo Electrónico (Entidad Adjudicadora)"	"Correo_Electronico_(Entidad_Adjudicadora)"	"string"
"Criterio de evaluación económica-financiera (código) (Requisitos de Participación)"	"Criterio_de_evaluacion_economica-financiera_(codigo)_(Requisitos_de_Participacion)"	"string"
