"ORIGINAL"	"DBFIELD"	"TYPE"
"Anexos a los pliegos"	"Anexos_pliegos"	"string"
"Anexos a los pliegos (URI)"	"Anexos_pliegos_URI"	"string"
"Clasificación CPV"	"Clasificacion_CPV"	"string"
"Clasificación CPV (Lote)"	"Clasificacion_CPV_Lote"	"string"
"Código de Subentidad Nacional"	"Codigo_Subentidad_Nacional"	"string"
"ContractFolderStatus - AdditionalDocumentReference - Attachment - ExternalReference - DocumentHash"	"ContractFolderStatus_AdditionalDocumentReference_Attachment_ExternalReference_DocumentHash"	"string"
"ContractFolderStatus - ContractModification - ContractID"	"ContractModification_ContractID"	"string"
"ContractFolderStatus - ContractModification - ContractModificationDurationMeasure"	"ContractModification_ContractModificationDurationMeasure"	"string"
"ContractFolderStatus - ContractModification - ContractModificationLegalMonetaryTotal - TaxExclusiveAmount"	"ContractModification_ContractModificationLegalMonetaryTotal_TaxExclusiveAmount"	"string"
"ContractFolderStatus - ContractModification - FinalDurationMeasure"	"ContractModification_FinalDurationMeasure"	"string"
"ContractFolderStatus - ContractModification - FinalLegalMonetaryTotal - TaxExclusiveAmount"	"ContractModification_FinalLegalMonetaryTotal_TaxExclusiveAmount"	"string"
"ContractFolderStatus - ContractModification - ID"	"ContractModification_ID"	"string"
"ContractFolderStatus - ContractModification - Note"	"ContractModification_Note"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - Attachment - ExternalReference - FileName"	"GeneralDocument_GeneralDocumentDocumentReference_FileName"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - Attachment - ExternalReference - URI"	"GeneralDocument_GeneralDocumentDocumentReference_URI"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - DocumentTypeCode"	"GeneralDocument_GeneralDocumentDocumentReference_DocumentTypeCode"	"string"
"ContractFolderStatus - GeneralDocument - GeneralDocumentDocumentReference - ID"	"GeneralDocument_GeneralDocumentDocumentReference_ID"	"string"
"ContractFolderStatus - LegalDocumentReference - Attachment - ExternalReference - DocumentHash"	"LegalDocumentReference_DocumentHash"	"string"
"ContractFolderStatus - LocatedContractingParty - ActivityCode"	"LocatedContractingParty_ActivityCode"	"string"
"ContractFolderStatus - LocatedContractingParty - ContractingPartyTypeCode"	"LocatedContractingParty_ContractingPartyTypeCode"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyIdentification - ID"	"LocatedContractingParty_ParentLocatedParty_ID"	"string"
"ContractFolderStatus - LocatedContractingParty - ParentLocatedParty - ParentLocatedParty - ParentLocatedParty - PartyName - Name"	"LocatedContractingParty_ParentLocatedParty_Name"	"string"
