"ORIGINAL"	"DBFIELD"
"id"	"id"
"summary"	"summary"
"link"	"link"
"title"	"title"
"updated"	"updated"
"deleted_on"	"deleted_on"
"origen"	"origen"
"indice_unico"	"indice_unico"
"ContractFolderStatus.ContractFolderStatusCode"	"Datos_Generales_del_Expediente/Estado"
"ContractFolderStatus.ContractFolderID"	"Datos_Generales_del_Expediente/Numero_de_Expediente"
"ContractFolderStatus.ProcurementProject.Name"	"Datos_Generales_del_Expediente/Objeto_del_Contrato"
"ContractFolderStatus.ProcurementProject.BudgetAmount.EstimatedOverallContractAmount"	"Datos_Generales_del_Expediente/Valor_Estimado_del_Contrato"
"ContractFolderStatus.ProcurementProject.BudgetAmount.TaxExclusiveAmount"	"Datos_Generales_del_Expediente/Presupuesto_Base_sin_Impuestos"
"ContractFolderStatus.ProcurementProject.BudgetAmount.TotalAmount"	"Datos_Generales_del_Expediente/Presupuesto_Base_con_Impuestos"
"ContractFolderStatus.ProcurementProject.PlannedPeriod.StartDate"	"Datos_Generales_del_Expediente/Plazo_de_Ejecucion/Comienzo"
"ContractFolderStatus.ProcurementProject.PlannedPeriod.EndDate"	"Datos_Generales_del_Expediente/Plazo_de_Ejecucion/Fin"
"ContractFolderStatus.ProcurementProject.PlannedPeriod.DurationMeasure"	"Datos_Generales_del_Expediente/Plazo_de_Ejecucion/Duracion"
"ContractFolderStatus.ProcurementProject.RequiredCommodityClassification.ItemClassificationCode"	"Datos_Generales_del_Expediente/Clasificacion_CPV"
"ContractFolderStatus.ProcurementProject.TypeCode"	"Datos_Generales_del_Expediente/Tipo_de_Contrato"
"ContractFolderStatus.ProcurementProject.SubTypeCode"	"Datos_Generales_del_Expediente/Subtipo"
"ContractFolderStatus.LegalDocumentReference.ID"	"Datos_Generales_del_Expediente/Pliego_de_Clausulas_Administrativas/Archivo"
"ContractFolderStatus.LegalDocumentReference.Attachment.ExternalReference.URI"	"Datos_Generales_del_Expediente/Pliego_de_Clausulas_Administrativas/URI"
"ContractFolderStatus.LegalDocumentReference.Attachment.ExternalReference.DocumentHash"	"Datos_Generales_del_Expediente/Pliego_de_Clausulas_Administrativas/Hash"
"ContractFolderStatus.TechnicalDocumentReference.ID"	"Datos_Generales_del_Expediente/Pliego_de_Prescripciones_Tecnicas/Archivo"
"ContractFolderStatus.TechnicalDocumentReference.Attachment.ExternalReference.URI"	"Datos_Generales_del_Expediente/Pliego_de_Prescripciones_Tecnicas/URI"
"ContractFolderStatus.TechnicalDocumentReference.Attachment.ExternalReference.DocumentHash"	"Datos_Generales_del_Expediente/Pliego_de_Prescripciones_Tecnicas/Hash"
"ContractFolderStatus.AdditionalDocumentReference.ID"	"Datos_Generales_del_Expediente/Anexos_a_los_Pliegos/Archivo"
"ContractFolderStatus.AdditionalDocumentReference.Attachment.ExternalReference.URI"	"Datos_Generales_del_Expediente/Anexos_a_los_Pliegos/URI"
"ContractFolderStatus.AdditionalDocumentReference.Attachment.ExternalReference.DocumentHash"	"Datos_Generales_del_Expediente/Anexos_a_los_Pliegos/Hash"
"ContractFolderStatus.ProcurementProjectLot.ID"	"Datos_Generales_del_Expediente_del_Lote/ID_del_Lote"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.Name"	"Datos_Generales_del_Expediente_del_Lote/Objeto_del_Lote"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.BudgetAmount.TotalAmount"	"Datos_Generales_del_Expediente_del_Lote/Presupuesto_Base_con_Impuestos"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.BudgetAmount.TaxExclusiveAmount"	"Datos_Generales_del_Expediente_del_Lote/Presupuesto_Base_sin_Impuestos"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RequiredCommodityClassification.ItemClassificationCode"	"Datos_Generales_del_Expediente_del_Lote/Clasificacion_CPV"
"ContractFolderStatus.ProcurementProject.RealizedLocation.CountrySubentity"	"Lugar_de_ejecucion/Subentidad_Territorial"
"ContractFolderStatus.ProcurementProject.RealizedLocation.CountrySubentityCode"	"Lugar_de_ejecucion/Codigo_de_Subentidad_Territorial"
"ContractFolderStatus.ProcurementProject.RealizedLocation.Address.Country.IdentificationCode"	"Lugar_de_ejecucion/Codigo_de_Pais"
"ContractFolderStatus.ProcurementProject.RealizedLocation.Address.Country.Name"	"Lugar_de_ejecucion/Pais"
"ContractFolderStatus.ProcurementProject.RealizedLocation.Address.CityName"	"Lugar_de_ejecucion/Poblacion"
"ContractFolderStatus.ProcurementProject.RealizedLocation.Address.PostalZone"	"Lugar_de_ejecucion/Codigo_Postal"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RealizedLocation.CountrySubentity"	"Lugar_de_ejecucion_del_Lote/Subentidad_Territorial"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RealizedLocation.CountrySubentityCode"	"Lugar_de_ejecucion_del_Lote/Codigo_de_Subentidad_Territorial"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RealizedLocation.Address.Country.IdentificationCode"	"Lugar_de_ejecucion_del_Lote/Codigo_de_Pais"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RealizedLocation.Address.Country.Name"	"Lugar_de_ejecucion_del_Lote/Pais"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RealizedLocation.Address.CityName"	"Lugar_de_ejecucion_del_Lote/Poblacion"
"ContractFolderStatus.ProcurementProjectLot.ProcurementProject.RealizedLocation.Address.PostalZone"	"Lugar_de_ejecucion_del_Lote/Codigo_Postal"
"ContractFolderStatus.TenderingProcess.ProcedureCode"	"Proceso_de_licitacion/Tipo_de_procedimiento"
"ContractFolderStatus.TenderingProcess.ContractingSystemCode"	"Proceso_de_Licitacion/Sistema_de_Contratacion"
"ContractFolderStatus.TenderingProcess.UrgencyCode"	"Proceso_de_Licitacion/Tipo_de_Tramitacion"
"ContractFolderStatus.TenderingProcess.SubmissionMethodCode"	"Proceso_de_licitacion/Presentacion_de_la_oferta/Numero"
"ContractFolderStatus.TenderingTerms.Language.ID"	"Proceso_de_licitacion/Idioma_de_Presentacion_de_Oferta"
"ContractFolderStatus.TenderingProcess.AuctionTerms.AuctionConstraintIndicator"	"Proceso_de_licitacion/Uso_de_Subasta_Electronica"
"ContractFolderStatus.TenderingTerms.ProcurementLegislationDocumentReference.ID"	"Proceso_de_licitacion/Directiva_Europea_de_Aplicacion"
"ContractFolderStatus.TenderingProcess.OverThresholdIndicator"	"Proceso_de_Participacion/OverThresholdIndicator"
"ContractFolderStatus.TenderingTerms.TenderRecipientParty.EndpointID"	"Proceso_de_licitacion/Medio_de_Presentacion_de_Ofertas_Electronicas"
"ContractFolderStatus.LocatedContractingParty.Party.PartyIdentification.ID"	"Entidad_Adjudicadora/ID"
