"ORIGINAL"	"DBFIELD"	"TYPE"
"Ciudad (Adjudicatario)"	"Adjudicatario/Ciudad"	"string"
"Código Postal (Adjudicatario)"	"Adjudicatario/Codigo_Postal"	"string"
"El adjudicatario es una PYME (Adjudicatario)"	"Adjudicatario/es_PYME"	"string"
"El adjudicatario es una UTE (Adjudicatario)"	"Adjudicatario/es_UTE"	"string"
"Identificador (Adjudicatario)"	"Adjudicatario/Identificador"	"string"
"Identificador de país (Adjudicatario)"	"Adjudicatario/Identificador_de_Pais"	"string"
"ContractFolderStatus - TenderResult - WinningParty - PartyIdentification - IDschemeName"	"Adjudicatario/IDschemeName"	"string"
"Nombre del adjudicatario (Adjudicatario)"	"Adjudicatario/Nombre_del_Adjudicatario"	"string"
"País (Adjudicatario)"	"Adjudicatario/Pais"	"string"
"Admisión de Variantes (Condiciones de Licitación)"	"Condiciones_de_Licitacion/Admision_de_Variantes"	"string"
"Descripción de Programas de Financiación (Condiciones de Licitación)"	"Condiciones_de_Licitacion/Descripcion_de_Programas_de_Financiacion"	"string"
"Especificar personal y cualificación Profesional (CCVV) (Condiciones de Licitación)"	"Condiciones_de_Licitacion/Especificar_Personal_y_Cualificacion_Profesional/CCVV"	"string"
"Fórmula de Revisión de Precios (Condiciones de Licitación)"	"Condiciones_de_Licitacion/Formula_de_Revision_de_Precios"	"string"
"Programas de Financiación (Condiciones de Licitación)"	"Condiciones_de_Licitacion/Programas_de_Financiacion"	"string"
"Descripción (Condiciones de Subcontratación)"	"Condiciones_de_Subcontratacion/Descripcion"	"string"
"Porcentaje de Subcontratación (Condiciones de Subcontratación)"	"Condiciones_de_Subcontratacion/Porcentaje_de_Subcontratacion"	"string"
"Código de la condición (Condiciones especiales de ejecución del contrato)"	"Condiciones_especiales_de_ejecucion_del_contrato/Codigo"	"string"
"Descripción de la condición (Condiciones especiales de ejecución del contrato)"	"Condiciones_especiales_de_ejecucion_del_contrato/Descripcion"	"string"
"Nombre de la condición (Condiciones especiales de ejecución del contrato)"	"Condiciones_especiales_de_ejecucion_del_contrato/Nombre"	"string"
"Descripción (Criterio de Adjudicación del Lote)"	"Criterio_de_Adjudicacion_del_Lote/Descripcion"	"string"
"Note (Criterio de Adjudicación del Lote)"	"Criterio_de_Adjudicacion_del_Lote/Nota"	"string"
"Ponderación (Criterio de Adjudicación del Lote)"	"Criterio_de_Adjudicacion_del_Lote/Ponderacion"	"string"
"Subtipo de criterio (Criterio de Adjudicación del Lote)"	"Criterio_de_Adjudicacion_del_Lote/Subtipo"	"string"
"Tipo de criterio (Criterio de Adjudicación del Lote)"	"Criterio_de_Adjudicacion_del_Lote/Tipo"	"string"
"Descripción (Criterio de Adjudicación)"	"Criterio_de_Adjudicacion/Descripcion"	"string"
"Note (Criterio de Adjudicación)"	"Criterio_de_Adjudicacion/Nota"	"string"
"Ponderación (Criterio de Adjudicación)"	"Criterio_de_Adjudicacion/Ponderacion"	"string"
"Subtipo de criterio (Criterio de Adjudicación)"	"Criterio_de_Adjudicacion/Subtipo"	"string"
"Tipo de criterio (Criterio de Adjudicación)"	"Criterio_de_Adjudicacion/Tipo"	"string"
"Clasificación CPV (Datos Generales del Expediente del Lote)"	"Datos_Generales_del_Expediente_del_Lote/Clasificacion_CPV"	"string"
"ID del Lote (Datos Generales del Expediente del Lote)"	"Datos_Generales_del_Expediente_del_Lote/ID_del_Lote"	"string"
"Objeto del Lote (Datos Generales del Expediente del Lote)"	"Datos_Generales_del_Expediente_del_Lote/Objeto_del_Lote"	"string"
"Presupuesto base con impuestos (Datos Generales del Expediente del Lote)"	"Datos_Generales_del_Expediente_del_Lote/Presupuesto_Base_con_Impuestos"	"string"
"Presupuesto base sin impuestos (Datos Generales del Expediente del Lote)"	"Datos_Generales_del_Expediente_del_Lote/Presupuesto_Base_sin_Impuestos"	"string"
"Anexos a los pliegos (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Anexos_a_los_Pliegos/Archivo"	"string"
"Anexos a los pliegos (Hash) (Datos Generales del Expediente)"	"Datos_Generales_del_Expediente/Anexos_a_los_Pliegos/Hash"	"string"
